informal,formal,point_indexes,label,len_label
: seberapa kamu ? 🧑 : besok ngajakin gebetan ke puncak : terus ? : gue suruh dari sekarang pakai make up nya,: seberapa kamu ? : besok mengajak yang ditaksir ke puncak : terus ? : saya suruh dari sekarang pakai makeupnya .,"[1, 2, 3, 4, 6, 0, 7, 13, 0, 0, 0, 0, 0, 14, 15, 16, 17, 18, 20, 0, 21, 22, 23, 24, 27, 0, 0, 0]","[2, 2, 2, 2, 2, 3, 2, 6, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 5, 3, 3, 2]",28
kayaknya emang lg eror . aku juga begini dr tadi udah di log out terus login lg juga tetep aja,kayaknya memang lagi error . aku juga begini dari tadi . sudah di logout terus login lagi juga tetap saja .,"[1, 6, 0, 0, 0, 0, 7, 8, 9, 11, 0, 13, 0, 16, 0, 0, 17, 19, 0, 23, 0, 0, 0, 0]","[2, 6, 3, 3, 3, 3, 2, 2, 2, 4, 3, 5, 3, 5, 3, 3, 2, 4, 3, 6, 3, 3, 3, 2]",24
kita reply2an kan otomatis masuk notificatione markonah,kita balas - membalas pesan otomatis masuk notification - nya markonah .,"[1, 6, 0, 0, 0, 0, 7, 8, 9, 10, 12, 0, 13, 14, 15, 0]","[2, 7, 3, 3, 3, 3, 2, 2, 2, 2, 5, 3, 2, 2, 4, 2]",16
malam grab . pesanan saya malam ini tiba2 selesai sebelum sampai . sudah melakukan pengaduan via email . berapa lama prosesnya ?,"malam grab . pesanan saya malam ini tiba - tiba selesai , sebelum sampai . sudah melakukan pengaduan melalui email . berapa lama prosesnya ?","[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 14, 15, 16, 17, 19, 0, 20, 21, 22, 23, 24, 25, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 4, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2]",26
jaringan xxxuserxxx tertutup kabut gak bisa konek,jaringan xxxuserxxx tertutup kabut . tidak bisa terhubung .,"[1, 2, 3, 4, 5, 6, 7, 9, 0, 12, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 5, 3, 5, 3, 3, 2]",13
"emak gue yang email emailan , gue duduk manis aja kena ocehan dikit","ibu saya yang email , saya duduk manis saja terkena sedikit omongan .","[3, 0, 0, 4, 7, 0, 0, 9, 0, 10, 17, 0, 0, 0, 0, 0, 0, 0]","[5, 3, 3, 2, 2, 3, 3, 4, 3, 2, 8, 3, 3, 3, 3, 3, 3, 2]",18
no resi xxxnumberxxx mhon dbantu min . blm diantar kurir nya,nomor resi xxxnumberxxx mohon dibantu admin . belum diantar kurirnya .,"[2, 0, 3, 4, 5, 6, 7, 13, 0, 0, 0, 0, 0, 16, 0, 0, 17, 19, 0, 0]","[4, 3, 2, 2, 2, 2, 2, 6, 3, 3, 3, 3, 3, 4, 3, 3, 2, 5, 3, 2]",20
tuh min xxxuserxxx perlu dicontoh nih anak baik yang bekelnya selalu habis !,admin xxxuserxxx perlu dicontoh anak baik yang bekelnya selalu habis !,"[3, 0, 0, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0]","[4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",21
min kenapa ya saya buka ovo begini terus ? padahal koneksi jaringan bagus,"admin , kenapa ya saya buka ovo selalu seperti ini ? padahal koneksi jaringan bagus .","[2, 0, 3, 4, 5, 6, 7, 10, 0, 0, 11, 12, 13, 14, 15, 0]","[5, 3, 2, 2, 2, 2, 2, 6, 3, 3, 2, 2, 2, 2, 4, 2]",16
"maaf min no saya tidak bisa dipakai internet , nelpon dll . mohon ditanggapi dm saya","maaf admin , nomor saya tidak bisa dipakai internet , nelpon , dll . mohon ditanggapi dm saya .","[1, 9, 0, 0, 5, 6, 7, 8, 10, 4, 11, 12, 13, 14, 15, 16, 17, 18, 0]","[2, 4, 3, 3, 2, 2, 2, 2, 4, 4, 2, 4, 2, 2, 2, 2, 2, 4, 2]",19
mohon dibantu puk utk nomor xxxnumberxxx nomor kartu xxxnumberxxx xxxnumberxxx xxxnumberxxx xxxnumberxxx,"mohon dibantu puk untuk nomor xxxnumberxxx , nomor kartu xxxnumberxxx xxxnumberxxx xxxnumberxxx xxxnumberxxx .","[1, 2, 3, 5, 0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 0]","[2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2]",34
tolong cek dm dari saya . thankyou,tolong cek dm dari saya . terima kasih .,"[1, 2, 3, 4, 5, 6, 10, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 6, 3, 3, 3, 2]",11
sabarr kaka buah dari kesabaran itu hasilnya pasti 🥰,sabar kakak . buah dari kesabaran itu hasilnya pasti .,"[1, 4, 0, 0, 5, 6, 7, 8, 9, 11, 0, 0]","[2, 5, 3, 3, 2, 2, 2, 2, 2, 4, 3, 2]",12
"udah min , tolong cek dm ya","sudah admin , tolong cek dm .","[3, 0, 0, 4, 5, 6, 8, 0, 0]","[5, 3, 3, 2, 2, 2, 4, 3, 2]",9
emang gk lihat itu logo xxxnumberxxx g ? 🤔 🤔,memang tidak lihat itu logo xxxnumberxxx g ?,"[3, 0, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 0, 0, 0]","[5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2]",16
eg713315489kr tp belum msk indo kak masih otw,"eg713315489kr tetapi belum masuk . indonesia , kak . masih dalam perjalanan .","[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 15, 0, 0, 0, 16, 19, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 7, 3, 3, 3, 4, 6, 3, 3, 2]",20
"siap kakak , tdi kbtulan ada tlp masuk jdi lari mangkuknya hhe","siap kakak , tadi kebetulan ada telepon masuk , jadi lari mangkuknya hehe .","[1, 2, 3, 9, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 16, 17, 20, 0, 0, 0]","[2, 2, 2, 5, 3, 3, 3, 3, 3, 4, 3, 3, 5, 3, 3, 2, 2, 5, 3, 3, 2]",21
mau nangis kesel banget paket yellow susah banget diaktifin tolong min gabisa bljr w,"mau menangis , kesal sekali paket yellow susah sekali diaktifkan . tolong admin , saya tidak bisa belajar .","[1, 6, 0, 0, 0, 0, 7, 8, 13, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 7, 3, 3, 3, 3, 2, 2, 6, 3, 3, 3, 3, 10, 3, 3, 3, 3, 3, 3, 3, 2]",22
"min , cara menambah masa aktif kartu loop gmna ?","admin , bagaimana cara menambah masa aktif kartu loop ?","[2, 0, 3, 4, 5, 6, 7, 8, 9, 12, 0, 0, 13, 0]","[4, 3, 4, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2]",14
disini senang disana senang - ibu sud,"di sini senang , di sana senang - ibu sud .","[2, 0, 4, 0, 5, 6, 7, 8, 0]","[5, 3, 6, 3, 2, 2, 2, 4, 2]",9
ini perusahaan gede karena maling uang konsumen di tukar dgn paket inet sampah dan masih melakukan pencurian2 pulsa dgn konten2 malingnya,ini perusahaan besar karena mencuri uang konsumen ditukar dengan paket internet sampah dan masih melakukan pencurian - pencurian pulsa dengan konten - konten pencuriannya,"[1, 2, 4, 0, 6, 0, 7, 11, 0, 0, 0, 14, 0, 0, 15, 16, 17, 18, 20, 0, 22, 0, 25, 0, 0, 26, 0]","[2, 2, 4, 3, 4, 3, 2, 5, 3, 3, 3, 4, 3, 3, 2, 2, 2, 2, 5, 3, 4, 3, 6, 3, 3, 2, 2]",27
ivr / xxxnumberxxx / xix / vii / xxxnumberxxx ivr / xxxnumberxxx / xix / vii / xxxnumberxxx cek donk lama itu,"ivr / xxxnumberxxx / xix / vii / xxxnumberxxx ivr / xxxnumberxxx / xix / vii / xxxnumberxxx . mohon periksa , sudah lama .","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40, 0, 0, 0, 42, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 8, 3, 3, 3, 4, 3, 2]",43
"makasih syg bonus kuota xxxnumberxxx gb nya , lumayan lah sehari juga buat streaming wkwk","terima kasih sayang bonus kuota xxxnumberxxx gb - nya . lumayan satu hari untuk streaming , hahaha .","[5, 0, 0, 0, 0, 6, 7, 8, 9, 10, 11, 12, 13, 15, 25, 20, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0]","[6, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 4, 6, 6, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2]",26
kak untuk layanan grab airport harga yang tertera di aplikasi sudah termasuk biaya tol belum ya ?,"kak , untuk layanan grab bandara . apakah harga yang tertera di aplikasi sudah termasuk biaya tol ?","[1, 2, 3, 4, 5, 7, 0, 8, 9, 10, 11, 12, 13, 14, 15, 18, 0, 0, 19, 0]","[2, 4, 2, 2, 2, 6, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2]",20
"terimakasih atas bantuannya xxxuserxxx , barangnya sudah saya terima .",terima kasih atas bantuannya xxxuserxxx . barangnya sudah saya terima .,"[12, 0, 3, 4, 5, 6, 7, 13, 0, 10, 11, 14, 2, 9, 0]","[2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 5, 4, 2, 2]",15
"woii xxxuserxxx ngapain lo maksa gw isi kolom hobbi ? faedahnya apa ? bank paling primitive keknya , harus ada kk ? kasian ektp nganggur .","oi xxxuserxxx , mengapa kamu memaksa saya isi kolom hobi ? faedahnya apa ? bank paling primitif sepertinya . harus ada kk ? kasihan e - ktp menganggur .","[3, 0, 0, 4, 5, 6, 27, 0, 0, 0, 0, 0, 13, 16, 0, 0, 17, 18, 19, 20, 21, 22, 39, 0, 0, 0, 0, 12, 29, 30, 31, 40, 0, 0, 0, 0, 0, 0, 0, 28, 0]","[5, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 4, 3, 3, 2, 2, 2, 2, 2, 2, 5, 3, 3, 3, 3, 7, 2, 2, 2, 9, 3, 3, 3, 3, 3, 3, 3, 2, 2]",41
"baiklah , terimakasih . tapi saya kan tidak sedang berlangganan apa - apa tapi kenapa pulsa saya kesedot ya min ? kira - kira bagaimana ya mengeceknya ? sebelumnya tidak pernah","baiklah , terima kasih . tapi saya tidak sedang berlangganan apa - apa . namun , mengapa pulsa terpotong min ? kira - kira , bagaimana cara memeriksanya ? sebelumnya tidak pernah .","[1, 2, 4, 0, 5, 6, 8, 0, 9, 10, 11, 12, 13, 16, 0, 0, 21, 0, 0, 0, 0, 22, 23, 24, 25, 26, 29, 0, 0, 30, 31, 32, 33, 34, 0]","[2, 2, 5, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 7, 3, 3, 4, 3, 3, 3, 3, 2, 2, 2, 2, 4, 5, 3, 3, 2, 2, 2, 2, 4, 2]",35
"min , sy tadi beli vocher paketan data yang xxxnumberxxx xxxnumberxxx gb , tapi kok tidak bisa masuk ya paketan datanya .","admin , saya tadi beli voucher paket data yang xxxnumberxxx gb , tapi kenapa tidak bisa masuk paket datanya ?","[2, 0, 4, 0, 5, 8, 0, 0, 10, 0, 11, 12, 13, 14, 15, 16, 22, 0, 0, 0, 0, 0, 23, 24, 26, 0, 27, 28, 30, 0, 32, 0, 34, 0, 0]","[4, 3, 4, 3, 2, 6, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 4, 3, 2, 2, 2, 3, 2, 3, 4, 3, 2]",35
dear xxxuserxxx : paket yellow kok nggak bisa dipaketin yaa ?,kepada xxxuserxxx : mengapa paket yellow tidak dapat dipaketkan ?,"[2, 0, 3, 4, 5, 6, 7, 8, 12, 0, 0, 0, 15, 0, 0, 16, 0]","[4, 3, 2, 2, 2, 2, 4, 2, 5, 3, 3, 3, 4, 3, 3, 2, 2]",17
setuju ! paket beli berasa kaya minta lemot parah - _ -,"setuju ! paket beli , serasa seperti meminta . sangat lambat !","[1, 2, 3, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 11, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",15
a : besok gue mau naik grab ke kantor . b : lalu ? a : gue pakai helmnya sekarang juga .,a : besok saya mau naik grab ke kantor . b : lalu ? a : saya pakai helmnya sekarang juga .,"[1, 2, 3, 5, 0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 0, 20, 21, 22, 23, 24, 25, 0]","[2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2]",26
"masalahnya akun driver bisa bisanya kena bajak . tidak ada pilihan cancel , karena itu yang buat mbak ini ketipu , bang jek ! xxxnumberxxx ! xxxnumberxxx ! xxxnumberxxx ! xxxnumberxxx ! xxxnumberxxx !","masalahnya , akun driver bisa - bisanya kena bajak . tidak ada pilihan membatalkan karena itu yang membuat mbak ini tertipu , bang jek !","[1, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 0, 0, 2, 17, 18, 20, 0, 21, 24, 0, 0, 25, 26, 27, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 4, 3, 3, 2, 2, 2, 4, 3, 2, 4, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",60
